,sol,ky,may,axl,chipp,potemkin,faust,millia,zato,ramlethal,leo,nagoriyuki,giovanna,anji,i-no,goldlewis,jack-o
sol,-,5,6,4,4,5,5,6,4,5,5,4,5,5,5,4,6
ky,5,-,7,3,4,5,5,7,6,5,6,5,6,6,5,5,4
may,4,3,-,5,4,5,5,5,4,5,3,4,4,5,6,4,6
axl,6,7,5,-,5,5,6,5,7,5,8,5,5,5,4,7,8
chipp,6,6,6,5,-,6,4,6,6,6,5,5,5,6,5,6,5
potemkin,5,5,5,5,4,-,5,5,6,5,5,4,6,5,5,4,5
faust,5,5,5,4,6,5,-,5,5,4,3,5,5,5,5,5,6
millia,4,3,5,5,4,5,5,-,5,6,4,4,4,5,4,4,6
zato,6,4,6,3,4,4,5,5,-,5,6,5,4,5,5,4,5
ramlethal,5,5,5,5,4,5,6,4,5,-,6,5,5,6,4,5,6
leo,5,4,7,2,5,5,7,6,4,4,-,5,4,5,5,4,5
nagoriyuki,6,5,6,5,5,6,5,6,5,5,5,-,5,6,6,6,6
giovanna,5,4,6,5,5,4,5,6,6,5,6,5,-,6,4,4,4
anji,5,4,5,5,4,5,5,5,5,4,5,4,4,-,6,5,5
i-no,5,5,4,6,5,5,5,6,5,6,5,4,6,4,-,5,6
goldlewis,6,5,6,3,4,6,5,6,6,5,6,4,6,5,5,-,6
jack-o,4,6,4,2,5,5,4,4,5,4,5,4,6,5,4,4,-